               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.077992,            0.091741,           0.0056852,             0.91341,             0.78841,             0.83662,             0.67873,            0.054133,            0.082126,           0.0029186,             0.00538,             0.00538,             0.00538
                  37,            0.077997,            0.091608,           0.0057044,             0.91572,             0.78745,             0.83717,             0.68051,            0.054005,            0.081949,           0.0029033,            0.005248,            0.005248,            0.005248
                  38,            0.077657,            0.090865,           0.0056049,             0.91163,             0.79124,             0.83785,             0.68088,            0.053909,            0.081759,           0.0028925,            0.005116,            0.005116,            0.005116
                  39,            0.077744,            0.091404,           0.0055691,             0.91302,             0.79216,             0.83874,             0.68325,            0.053882,            0.081583,           0.0028831,            0.004984,            0.004984,            0.004984
                  40,            0.077368,            0.090214,            0.005541,             0.91056,             0.79314,             0.83924,             0.68401,            0.053784,            0.081385,           0.0028697,            0.004852,            0.004852,            0.004852
                  41,            0.077626,             0.09041,           0.0054847,             0.91296,             0.79296,             0.83973,             0.68458,            0.053713,            0.081255,           0.0028581,             0.00472,             0.00472,             0.00472
                  42,            0.077196,            0.090579,           0.0054418,             0.91508,              0.7922,             0.84029,             0.68529,            0.053639,            0.081078,           0.0028493,            0.004588,            0.004588,            0.004588
                  43,            0.077305,            0.089722,            0.005443,             0.91305,             0.79353,             0.84087,             0.68603,            0.053567,            0.080889,           0.0028391,            0.004456,            0.004456,            0.004456
                  44,            0.077124,            0.089632,           0.0054035,             0.91242,             0.79409,             0.84123,             0.68592,            0.053502,            0.080774,           0.0028305,            0.004324,            0.004324,            0.004324
                  45,            0.077047,            0.089158,           0.0054135,             0.91406,             0.79454,             0.84168,             0.68631,            0.053444,            0.080639,           0.0028192,            0.004192,            0.004192,            0.004192
                  46,            0.077211,            0.090454,           0.0054367,             0.91307,             0.79514,             0.84208,               0.687,            0.053372,            0.080489,           0.0028093,             0.00406,             0.00406,             0.00406
                  47,            0.076724,            0.088792,           0.0053825,             0.91307,             0.79538,              0.8424,             0.68734,            0.053291,            0.080372,           0.0027993,            0.003928,            0.003928,            0.003928
                  48,             0.07713,            0.089345,           0.0053669,             0.91439,             0.79472,             0.84279,             0.68794,            0.053243,            0.080268,           0.0027901,            0.003796,            0.003796,            0.003796
                  49,            0.076885,            0.088753,           0.0052816,             0.91415,             0.79533,             0.84319,             0.68845,            0.053178,            0.080142,           0.0027816,            0.003664,            0.003664,            0.003664
                  50,            0.076565,            0.088946,           0.0052903,             0.90924,             0.79743,             0.84362,             0.68895,            0.053117,            0.080018,           0.0027732,            0.003532,            0.003532,            0.003532
                  51,            0.076256,            0.087853,           0.0052992,             0.91166,             0.79676,               0.844,             0.68932,            0.053069,            0.079894,           0.0027659,              0.0034,              0.0034,              0.0034
                  52,            0.076458,            0.087199,           0.0052807,             0.91166,             0.79749,             0.84434,             0.68945,            0.053025,            0.079783,           0.0027598,            0.003268,            0.003268,            0.003268
                  53,            0.076541,            0.088311,            0.005267,              0.9102,             0.79836,             0.84462,              0.6902,             0.05299,            0.079682,           0.0027542,            0.003136,            0.003136,            0.003136
                  54,            0.076058,            0.087146,           0.0052119,             0.91377,             0.79712,             0.84501,             0.69049,            0.052949,            0.079578,           0.0027493,            0.003004,            0.003004,            0.003004
                  55,             0.07604,            0.087694,           0.0052274,             0.91348,              0.7977,             0.84549,             0.69068,            0.052904,            0.079464,           0.0027432,            0.002872,            0.002872,            0.002872
                  56,            0.075766,            0.086764,           0.0051997,             0.91448,             0.79774,             0.84579,             0.69103,            0.052864,            0.079348,           0.0027373,             0.00274,             0.00274,             0.00274
                  57,            0.075875,            0.087662,           0.0052203,             0.91392,             0.79781,             0.84602,              0.6912,            0.052826,            0.079245,           0.0027318,            0.002608,            0.002608,            0.002608
                  58,            0.075682,            0.086888,           0.0051181,             0.91407,             0.79804,             0.84638,             0.69139,            0.052786,            0.079146,           0.0027263,            0.002476,            0.002476,            0.002476
                  59,            0.075619,            0.086271,           0.0050901,             0.91186,             0.79947,             0.84666,             0.69158,            0.052745,            0.079056,           0.0027211,            0.002344,            0.002344,            0.002344
                  60,            0.075546,            0.086164,           0.0051532,             0.91113,                 0.8,             0.84693,             0.69178,            0.052709,            0.078979,           0.0027168,            0.002212,            0.002212,            0.002212
                  61,            0.075773,            0.086113,           0.0051525,             0.91296,              0.7996,             0.84719,             0.69227,            0.052671,            0.078891,           0.0027118,             0.00208,             0.00208,             0.00208
                  62,            0.075403,            0.085449,           0.0051036,              0.9131,             0.79985,             0.84745,             0.69247,            0.052633,            0.078808,           0.0027067,            0.001948,            0.001948,            0.001948
                  63,            0.075267,             0.08605,           0.0050467,             0.91324,             0.80002,             0.84768,             0.69286,            0.052598,            0.078726,           0.0027022,            0.001816,            0.001816,            0.001816
                  64,            0.075267,            0.084793,            0.005022,             0.91473,             0.79962,             0.84794,              0.6929,            0.052568,            0.078648,           0.0026976,            0.001684,            0.001684,            0.001684
                  65,            0.074936,            0.084695,           0.0049655,             0.91386,             0.80003,             0.84814,             0.69307,            0.052537,            0.078569,           0.0026931,            0.001552,            0.001552,            0.001552
                  66,            0.074932,            0.084578,           0.0049968,             0.91364,             0.80042,             0.84838,             0.69317,            0.052511,            0.078496,           0.0026887,             0.00142,             0.00142,             0.00142
                  67,            0.074849,            0.084314,           0.0048672,             0.91414,             0.80057,             0.84862,             0.69341,            0.052485,            0.078422,            0.002684,            0.001288,            0.001288,            0.001288
                  68,             0.07508,            0.084802,            0.004921,             0.91413,             0.80071,             0.84878,             0.69381,            0.052458,            0.078354,           0.0026796,            0.001156,            0.001156,            0.001156
                  69,            0.074691,             0.08258,           0.0048993,             0.91252,             0.80173,             0.84896,             0.69407,            0.052433,            0.078283,           0.0026754,            0.001024,            0.001024,            0.001024
                  70,            0.074592,            0.084028,           0.0049077,             0.91247,              0.8019,             0.84919,             0.69405,            0.052407,            0.078215,           0.0026715,            0.000892,            0.000892,            0.000892
                  71,             0.07452,            0.083862,           0.0048778,             0.91199,             0.80233,              0.8494,             0.69426,             0.05238,            0.078149,           0.0026676,             0.00076,             0.00076,             0.00076
                  72,            0.074283,            0.083457,           0.0047915,             0.91256,             0.80222,             0.84959,             0.69431,            0.052357,            0.078083,           0.0026637,            0.000628,            0.000628,            0.000628
                  73,            0.074405,             0.08287,           0.0048449,             0.91283,             0.80235,             0.84973,             0.69414,            0.052333,            0.078021,           0.0026599,            0.000496,            0.000496,            0.000496
                  74,             0.07414,            0.082514,           0.0047505,             0.91256,             0.80277,             0.84991,             0.69428,            0.052311,            0.077959,           0.0026561,            0.000364,            0.000364,            0.000364
